ID,Date_Time,Equipment_Name,Equipment_Id,Flow_Rate,Flow_Total,Consumption
1238,2022-06-21 21:02:05.000,Wooshin_Air_Consumption,7,245,156925,21
1237,2022-06-21 20:02:05.000,Wooshin_Air_Consumption,7,364,156904,11
1236,2022-06-21 19:02:05.000,Wooshin_Air_Consumption,7,50,156893,17
1235,2022-06-21 18:02:05.000,Wooshin_Air_Consumption,7,268,156876,21
1234,2022-06-21 17:02:05.000,Wooshin_Air_Consumption,7,444,156855,18
1233,2022-06-21 16:02:05.000,Wooshin_Air_Consumption,7,326,156837,22
1232,2022-06-21 15:02:05.000,Wooshin_Air_Consumption,7,313,156815,12
1231,2022-06-21 14:02:07.000,Wooshin_Air_Consumption,7,54,156803,20
1230,2022-06-21 13:02:07.000,Wooshin_Air_Consumption,7,476,156783,22
1229,2022-06-21 12:02:05.000,Wooshin_Air_Consumption,7,334,156761,11
1228,2022-06-21 11:02:05.000,Wooshin_Air_Consumption,7,43,156750,19
1227,2022-06-21 10:02:05.000,Wooshin_Air_Consumption,7,322,156731,21
1226,2022-06-21 09:02:06.000,Wooshin_Air_Consumption,7,295,156710,23
1225,2022-06-21 08:02:05.000,Wooshin_Air_Consumption,7,367,156687,16
1224,2022-06-21 07:03:55.000,Wooshin_Air_Consumption,7,351,156671,21
1223,2022-06-21 06:02:05.000,Wooshin_Air_Consumption,7,144,156650,4
1222,2022-06-21 05:02:05.000,Wooshin_Air_Consumption,7,0,156646,0
1221,2022-06-21 04:02:05.000,Wooshin_Air_Consumption,7,0,156646,0
1220,2022-06-21 03:02:05.000,Wooshin_Air_Consumption,7,0,156646,0
1219,2022-06-21 02:02:06.000,Wooshin_Air_Consumption,7,0,156646,0
1218,2022-06-21 01:02:06.000,Wooshin_Air_Consumption,7,0,156646,0
1217,2022-06-21 00:05:04.000,Wooshin_Air_Consumption,7,0,156646,NULL
1216,2022-06-20 23:02:05.000,Wooshin_Air_Consumption,7,0,156646,10
1215,2022-06-20 22:02:06.000,Wooshin_Air_Consumption,7,387,156636,22
1214,2022-06-20 21:02:05.000,Wooshin_Air_Consumption,7,351,156614,22
1213,2022-06-20 20:02:05.000,Wooshin_Air_Consumption,7,558,156592,14
1212,2022-06-20 19:02:06.000,Wooshin_Air_Consumption,7,83,156578,19
1211,2022-06-20 18:02:05.000,Wooshin_Air_Consumption,7,262,156559,22
1210,2022-06-20 17:02:05.000,Wooshin_Air_Consumption,7,347,156537,17
1209,2022-06-20 16:02:06.000,Wooshin_Air_Consumption,7,407,156520,21
1208,2022-06-20 15:02:05.000,Wooshin_Air_Consumption,7,177,156499,12
1207,2022-06-20 14:03:55.000,Wooshin_Air_Consumption,7,89,156487,768
1206,2022-06-16 23:02:06.000,Wooshin_Air_Consumption,7,0,155719,8
1205,2022-06-16 22:02:05.000,Wooshin_Air_Consumption,7,227,155711,20
1204,2022-06-16 21:02:06.000,Wooshin_Air_Consumption,7,330,155691,21
1203,2022-06-16 20:02:05.000,Wooshin_Air_Consumption,7,396,155670,11
1202,2022-06-16 19:02:06.000,Wooshin_Air_Consumption,7,18,155659,19
1201,2022-06-16 18:02:05.000,Wooshin_Air_Consumption,7,471,155640,11
1200,2022-06-16 17:02:05.000,Wooshin_Air_Consumption,7,61,155629,8
1199,2022-06-16 16:02:05.000,Wooshin_Air_Consumption,7,297,155621,23
1198,2022-06-16 15:02:05.000,Wooshin_Air_Consumption,7,458,155598,8
1197,2022-06-16 14:02:05.000,Wooshin_Air_Consumption,7,6,155590,7
1196,2022-06-16 13:02:11.000,Wooshin_Air_Consumption,7,108,155583,19
1195,2022-06-16 12:02:05.000,Wooshin_Air_Consumption,7,247,155564,13
1194,2022-06-16 11:02:05.000,Wooshin_Air_Consumption,7,114,155551,20
1193,2022-06-16 10:02:05.000,Wooshin_Air_Consumption,7,401,155531,20
1192,2022-06-16 09:02:05.000,Wooshin_Air_Consumption,7,355,155511,23
1191,2022-06-16 08:02:06.000,Wooshin_Air_Consumption,7,396,155488,16
1190,2022-06-16 07:02:08.000,Wooshin_Air_Consumption,7,525,155472,21
1189,2022-06-16 06:02:07.000,Wooshin_Air_Consumption,7,140,155451,3
1188,2022-06-16 05:02:06.000,Wooshin_Air_Consumption,7,0,155448,0
1187,2022-06-16 04:02:05.000,Wooshin_Air_Consumption,7,0,155448,0
1186,2022-06-16 03:02:05.000,Wooshin_Air_Consumption,7,0,155448,0
1185,2022-06-16 02:02:06.000,Wooshin_Air_Consumption,7,0,155448,0
1184,2022-06-16 01:02:05.000,Wooshin_Air_Consumption,7,0,155448,0
1183,2022-06-16 00:05:04.000,Wooshin_Air_Consumption,7,0,155448,NULL
1182,2022-06-15 23:02:05.000,Wooshin_Air_Consumption,7,0,155448,8
1181,2022-06-15 22:02:05.000,Wooshin_Air_Consumption,7,378,155440,22
1180,2022-06-15 21:02:05.000,Wooshin_Air_Consumption,7,250,155418,20
1179,2022-06-15 20:02:05.000,Wooshin_Air_Consumption,7,513,155398,11
1178,2022-06-15 19:02:06.000,Wooshin_Air_Consumption,7,65,155387,18
1177,2022-06-15 18:02:05.000,Wooshin_Air_Consumption,7,355,155369,23
1176,2022-06-15 17:02:05.000,Wooshin_Air_Consumption,7,367,155346,17
1175,2022-06-15 16:02:05.000,Wooshin_Air_Consumption,7,333,155329,19
1174,2022-06-15 15:02:05.000,Wooshin_Air_Consumption,7,287,155310,10
1173,2022-06-15 14:02:06.000,Wooshin_Air_Consumption,7,5,155300,18
1172,2022-06-15 13:02:05.000,Wooshin_Air_Consumption,7,333,155282,21
1171,2022-06-15 12:02:05.000,Wooshin_Air_Consumption,7,447,155261,9
1170,2022-06-15 11:02:05.000,Wooshin_Air_Consumption,7,15,155252,16
1169,2022-06-15 10:02:05.000,Wooshin_Air_Consumption,7,498,155236,22
1168,2022-06-15 09:02:05.000,Wooshin_Air_Consumption,7,310,155214,21
1167,2022-06-15 08:02:05.000,Wooshin_Air_Consumption,7,346,155193,16
1166,2022-06-15 07:02:05.000,Wooshin_Air_Consumption,7,555,155177,19
1165,2022-06-15 06:02:06.000,Wooshin_Air_Consumption,7,56,155158,3
1164,2022-06-15 05:02:05.000,Wooshin_Air_Consumption,7,0,155155,0
1163,2022-06-15 04:02:06.000,Wooshin_Air_Consumption,7,0,155155,0
1162,2022-06-15 03:02:05.000,Wooshin_Air_Consumption,7,0,155155,0
1161,2022-06-15 02:02:06.000,Wooshin_Air_Consumption,7,0,155155,0
1160,2022-06-15 01:02:05.000,Wooshin_Air_Consumption,7,0,155155,0
1159,2022-06-15 00:05:04.000,Wooshin_Air_Consumption,7,0,155155,NULL
1158,2022-06-14 23:02:05.000,Wooshin_Air_Consumption,7,0,155155,8
1157,2022-06-14 22:02:05.000,Wooshin_Air_Consumption,7,454,155147,21
1156,2022-06-14 21:02:06.000,Wooshin_Air_Consumption,7,250,155126,22
1155,2022-06-14 20:02:05.000,Wooshin_Air_Consumption,7,418,155104,10
1154,2022-06-14 19:02:05.000,Wooshin_Air_Consumption,7,28,155094,19
1153,2022-06-14 18:02:06.000,Wooshin_Air_Consumption,7,444,155075,22
1152,2022-06-14 17:02:05.000,Wooshin_Air_Consumption,7,329,155053,14
1151,2022-06-14 16:02:05.000,Wooshin_Air_Consumption,7,329,155039,20
1150,2022-06-14 15:02:05.000,Wooshin_Air_Consumption,7,337,155019,8
1149,2022-06-14 14:02:05.000,Wooshin_Air_Consumption,7,1,155011,10
