Master_ID,Date_Time,Node_Name,Node_ID,Output_Frequency,Motor_Speed,Output_Current_Avg,Output_Current_U,Output_Current_V,Output_Current_W,Set_Frequency,Set_Speed,Input_Voltage,Output_Voltage,DC_Bus_Voltage,Energy_Meter_MWH,Energy_Meter_KWH,Energy_Saved_KWH,IGBT_HS_Temperature_U,IGBT_HS_Temperature_V,IGBT_HS_Temperature_W,Run_Time_Hrs,Adjustable_OverCurrent_Level,UnderCurrent_Level,Output_Current_level,Earth_Fault_Detection_Level
50178,2022-06-21 21:02:06.000,FDV Unit 3A                             ,56,3816,1144,405,536,383,305,3816,1144,399,317,550,62,964,0,0,0,52,4676,300,0,30,50
50180,2022-06-21 21:02:06.000,FDV Unit 1A                             ,54,3813,1143,391,393,403,377,3813,1143,395,313,549,63,1635,242,0,0,57,5443,300,0,30,50
50181,2022-06-21 21:02:06.000,FDV Unit 2A                             ,55,3839,1151,404,390,417,410,3839,1151,397,317,552,65,3862,607,0,0,43,5269,300,0,30,50
50179,2022-06-21 21:02:05.000,FDV Unit 1B                             ,51,4061,1218,413,402,411,389,4061,1218,401,336,556,66,1089,192,0,0,55,4473,300,0,30,50
50176,2022-06-21 20:02:06.000,FDV Unit 1A                             ,54,3813,1143,389,385,373,408,3813,1143,391,314,546,63,1485,220,0,0,59,5442,300,0,30,50
50175,2022-06-21 20:02:06.000,FDV Unit 2A                             ,55,3839,1151,404,406,395,423,3839,1151,394,317,547,65,3702,586,0,0,55,5268,300,0,30,50
50177,2022-06-21 20:02:06.000,FDV Unit 3A                             ,56,3816,1144,406,533,381,306,3816,1144,396,315,544,62,739,986,0,0,55,4675,300,0,30,50
50174,2022-06-21 20:02:05.000,FDV Unit 1B                             ,51,4063,1218,410,400,413,392,4063,1218,393,338,545,66,916,164,0,0,46,4472,300,0,30,50
50173,2022-06-21 19:02:07.000,FDV Unit 1A                             ,54,3813,1143,388,399,368,398,3813,1143,403,315,560,63,1333,197,0,0,51,5441,300,0,30,50
50171,2022-06-21 19:02:06.000,FDV Unit 1B                             ,51,4063,1218,413,407,416,398,4063,1218,408,336,565,66,743,137,0,0,56,4471,300,0,30,50
